description,total_score,interface_dG,separated_interface_energy,interface_delta_sasa,interface_packstat,interface_delta_hbond_unsat,num_interface_residues,gly_interface_energy,sap_binder,cms,shard
diffused_binder_cyclic_mcl1_shard00_0_dldesign_0_cycle0,-235.1440712264277,-23.43416813981128,-23.43416813981128,1281.594199270828,0.3786436626004743,6.0,48.0,0.0,65.41524505615234,260.7633361816406,runlist_00
diffused_binder_cyclic_mcl1_shard00_0_dldesign_0_cycle1,-219.85611288815315,-23.709152370460828,-23.709152370460828,1282.4446245236456,0.3807021528037129,5.0,48.0,0.0,66.6922378540039,255.0917205810547,runlist_00
diffused_binder_cyclic_mcl1_shard00_0_dldesign_0_cycle2,-223.16457568216416,-19.331871448967803,-19.331871448967803,1291.5072583001545,0.4130111242006757,6.0,50.0,0.0,59.34518814086914,257.4732360839844,runlist_00
diffused_binder_cyclic_mcl1_shard00_0_dldesign_0_cycle3,-205.1342158212336,-6.665886635808676,-6.665886635808676,604.7208725010298,0.4625480120406733,6.0,30.0,0.0,94.63731384277344,87.42969512939453,runlist_00
diffused_binder_cyclic_mcl1_shard00_0_dldesign_0_cycle4,3380.483591395767,-3.0495304510657206,-3.0495304510657206,613.5522462731399,0.4373231880374497,7.0,29.0,0.0,103.08467864990234,71.82201385498047,runlist_00
diffused_binder_cyclic_mcl1_shard00_10_dldesign_0_cycle0,-177.38727911359123,-9.901510345864864,-9.901510345864864,575.2421450795622,0.4405854224642877,4.0,27.0,0.0,86.73978424072266,92.5827407836914,runlist_00
diffused_binder_cyclic_mcl1_shard00_10_dldesign_0_cycle1,-186.0901383186963,-2.8343454930144105,-2.8343454930144105,375.3899068328821,0.4174073722676806,2.0,18.0,0.0,83.47591400146484,40.75197982788086,runlist_00
diffused_binder_cyclic_mcl1_shard00_10_dldesign_0_cycle2,-189.51342597661088,-8.03387765415664e-05,-8.03387765415664e-05,0.0,0.2616205782102752,0.0,4.0,0.0,99.20155334472656,,runlist_00
diffused_binder_cyclic_mcl1_shard00_10_dldesign_0_cycle3,-187.78136995706527,-9.136670576026518e-05,-9.136670576026518e-05,0.0,0.3422446893767117,0.0,6.0,0.0,105.1779327392578,0.0,runlist_00
diffused_binder_cyclic_mcl1_shard00_10_dldesign_0_cycle4,2588.257803894591,-0.009687920475244,-0.009687920475244,35.892820179565774,0.3825141496321468,0.0,6.0,0.0,94.4832534790039,0.1423474848270416,runlist_00
diffused_binder_cyclic_mcl1_shard00_11_dldesign_0_cycle0,-202.33715120516163,-9.643479845987455,-9.643479845987455,762.3933508638181,0.4888263954502772,2.0,39.0,0.0,83.8616943359375,101.6902084350586,runlist_00
diffused_binder_cyclic_mcl1_shard00_11_dldesign_0_cycle1,-231.2230960386105,-28.140679412408872,-28.140679412408872,1126.703597324284,0.4655793805099872,7.0,45.0,0.0,79.60855102539062,252.2010955810547,runlist_00
diffused_binder_cyclic_mcl1_shard00_11_dldesign_0_cycle2,-155.74311665642207,-0.6126007927760497,-0.6126007927760497,102.17270693650704,0.4715854915203644,0.0,6.0,0.0,106.2873992919922,1.5236200094223022,runlist_00
diffused_binder_cyclic_mcl1_shard00_11_dldesign_0_cycle3,-165.88632924318188,-0.4522944123802688,-0.4522944123802688,53.78819296351088,0.5655582328851835,0.0,3.0,0.0,107.4234848022461,1.0655511617660522,runlist_00
diffused_binder_cyclic_mcl1_shard00_11_dldesign_0_cycle4,2336.564536446437,-0.5192305584760106,-0.5192305584760106,45.432394263002976,0.6109998893122243,0.0,3.0,0.0,91.89263916015624,1.0656991004943848,runlist_00
diffused_binder_cyclic_mcl1_shard00_12_dldesign_0_cycle0,-192.44864416074583,-29.02916414148692,-29.02916414148692,1210.7076749721357,0.4729049498315939,0.0,50.0,0.0,67.22013092041016,254.3116912841797,runlist_00
diffused_binder_cyclic_mcl1_shard00_12_dldesign_0_cycle1,-194.75975535343844,-2.4674577777454942,-2.4674577777454942,1199.6429080760029,0.368061210290433,4.0,49.0,0.0,59.968658447265625,256.8883056640625,runlist_00
diffused_binder_cyclic_mcl1_shard00_12_dldesign_0_cycle2,-216.0266762905214,-21.755118477895053,-21.755118477895053,1214.3088166962843,0.5055547231104106,3.0,49.0,0.0,61.46634292602539,253.8118133544922,runlist_00
diffused_binder_cyclic_mcl1_shard00_12_dldesign_0_cycle3,-216.03110834328328,-15.533854930845962,-15.533854930845962,1051.3354786284715,0.5245321387514686,4.0,48.0,0.0,64.9325942993164,242.9503173828125,runlist_00
diffused_binder_cyclic_mcl1_shard00_12_dldesign_0_cycle4,2721.66854963709,5.247661887781646,5.247661887781646,901.5682247664964,0.4803702790429497,12.0,48.0,0.0,71.82820129394531,150.28042602539062,runlist_00
diffused_binder_cyclic_mcl1_shard00_13_dldesign_0_cycle0,-215.22772805073976,-12.874365682490977,-12.874365682490977,870.5722632337227,0.4599317937416218,2.0,36.0,0.0,74.59917449951172,139.49449157714844,runlist_00
diffused_binder_cyclic_mcl1_shard00_13_dldesign_0_cycle1,-204.171825929566,-1.3225853799154947,-1.3225853799154947,225.12115394214845,0.5387822346440473,0.0,11.0,0.0,91.88326263427734,38.62012481689453,runlist_00
